"id","ethereum_price_id","low_rate","high_rate","timestamp"
"1","1","2950.00","3200.00","2024-04-29 00:15:44"
"2","2","2954.52","3204.52","2024-04-29 01:00:11"
"3","3","2959.04","3209.04","2024-04-29 03:38:00"
"4","4","2963.56","3213.56","2024-04-29 05:11:58"
"5","5","2968.08","3218.08","2024-04-29 07:10:12"
"6","6","2972.60","3222.60","2024-04-29 09:45:41"
"7","7","2967.12","3227.12","2024-04-29 10:46:09"
"8","8","2971.64","3231.64","2024-04-29 11:23:29"
"9","9","2980.16","3236.16","2024-04-29 12:40:59"
"10","10","2988.68","3240.68","2024-04-30 04:28:41"
"11","11","2989.20","3245.20","2024-04-30 06:40:53"
"12","12","2990.72","3249.72","2024-04-30 09:07:12"
"13","13","3004.24","3254.24","2024-04-30 12:53:34"
"14","14","3008.76","3258.76","2024-04-30 13:15:52"
"15","15","3013.28","3263.28","2024-04-30 14:39:17"
"16","16","3017.80","3267.80","2024-04-30 15:43:58"
"17","17","3022.32","3272.32","2024-04-30 16:49:09"
"18","18","3026.84","3276.84","2024-04-30 17:09:35"
"19","19","3031.36","3281.36","2024-05-01 00:22:27"
"20","20","3035.88","3285.88","2024-05-01 04:51:01"
"21","21","3040.40","3280.40","2024-05-01 06:49:29"
"22","22","3034.92","3284.92","2024-05-01 08:19:38"
"23","23","3039.44","3286.44","2024-05-01 10:29:30"
"24","24","3043.96","3277.96","2024-05-01 12:08:57"
"25","25","3048.48","3278.48","2024-05-01 14:15:31"
"26","26","3053.00","3265.00","2024-05-01 17:08:51"
"27","27","3057.52","3270.52","2024-05-01 19:31:56"
"28","28","3062.04","3281.04","2024-05-01 20:15:04"
"29","29","3066.56","3264.56","2024-05-01 21:38:06"
"30","30","3071.08","3271.08","2024-05-02 03:16:21"
"31","31","3080.60","3285.60","2024-05-02 05:49:17"
"32","32","3088.12","3290.12","2024-05-02 08:30:37"
"33","33","3084.64","3294.64","2024-05-02 10:14:23"
"34","34","3099.16","3297.16","2024-05-02 12:28:17"
"35","35","3103.68","3300.68","2024-05-02 13:38:47"
"36","36","3108.20","3301.20","2024-05-02 14:59:04"
"37","37","3102.72","3302.72","2024-05-02 15:40:33"
"38","38","3111.24","3299.24","2024-05-02 16:57:23"
"39","39","3103.76","3296.76","2024-05-02 17:44:52"
"40","40","3100.28","3292.28","2024-05-02 18:37:56"
"41","41","3108.80","3290.80","2024-05-03 02:37:28"
"42","42","3112.32","3288.32","2024-05-03 07:10:11"
"43","43","3103.84","3291.84","2024-05-03 09:58:44"
"44","44","3108.36","3294.36","2024-05-03 12:47:07"
"45","45","3105.88","3292.88","2024-05-03 14:41:28"
"46","46","3102.40","3293.40","2024-05-03 16:06:02"
"47","47","3107.92","3297.92","2024-05-03 18:34:45"
"48","48","3112.44","3299.44","2024-05-03 19:17:58"
"49","49","3116.96","3301.96","2024-05-03 20:32:36"
"50","50","3120.48","3302.48","2024-05-03 21:11:45"
